Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
341;Kurpat;Sandpipers, Snipes;Scolopacidae;Heinäkurppa;Dubbelbeckasin;GALMED;Gallinago media;A;Great Snipe;Snäppor;
342;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäkurppa / taivaanvuohi / heinäkurppa;Ob. beckasin;LYM/GAL;Lymnocryptes/Gallinago;S;Jack / Common / Great Snipe;Snäppor;
343;Kurpat;Sandpipers, Snipes;Scolopacidae;Kurppelolaji;Limnodromus (släktet);LIMNOSP;Limnodromus sp;S;Limnodromus (genus);Snäppor;
344;Kurpat;Sandpipers, Snipes;Scolopacidae;Tundrakurppelo;Större beckasinsnäppa;LIMSCO;Limnodromus scolopaceus;A;Long-billed Dowitcher;Snäppor;
345;Kurpat;Sandpipers, Snipes;Scolopacidae;Lehtokurppa;Morkulla;SCORUS;Scolopax rusticola;A;Eurasian Woodcock;Snäppor;
346;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuirilaji;Limosa (släktet);LIMSP;Limosa sp;S;Limosa (genus);Snäppor;
347;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustapyrstökuiri;Rödspov;LIMLIM;Limosa limosa;A;Black-tailed Godwit;Snäppor;
348;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustapyrstökuiri (alalaji islandica);Rödspov (rasen islandica);LIMLIMISL;Limosa limosa islandica;R;Black-tailed Godwit (subspecies islandica);Snäppor;
349;Kurpat;Sandpipers, Snipes;Scolopacidae;Punakuiri;Myrspov;LIMLAP;Limosa lapponica;A;Bar-tailed Godwit;Snäppor;
350;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovilaji;Numenius (släktet);NUMSP;Numenius sp;S;Numenius (genus);Snäppor;
351;Kurpat;Sandpipers, Snipes;Scolopacidae;Taigakuovi;Dvärgspov;NUMMIN;Numenius minutus;A;Little Curlew;Snäppor;
352;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkukuovi;Småspov;NUMPHA;Numenius phaeopus;A;Whimbrel;Snäppor;
353;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovi;Storspov;NUMARQ;Numenius arquata;A;Eurasian Curlew;Snäppor;
354;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuirilaji / kuovilaji;Ob. spov;LIM/NUM;Limosa/Numenius;S;Curlew / Godwit species;Snäppor;
355;Kurpat;Sandpipers, Snipes;Scolopacidae;Viklolaji;Tringa (släktet);TRISP;Tringa sp;S;Tringa (genus);Snäppor;
356;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustaviklo;Svartsnäppa;TRIERY;Tringa erythropus;A;Spotted Redshank;Snäppor;
357;Kurpat;Sandpipers, Snipes;Scolopacidae;Punajalkaviklo;Rödbena;TRITOT;Tringa totanus;A;Common Redshank;Snäppor;
358;Kurpat;Sandpipers, Snipes;Scolopacidae;Lampiviklo;Dammsnäppa;TRISTA;Tringa stagnatilis;A;Marsh Sandpiper;Snäppor;
359;Kurpat;Sandpipers, Snipes;Scolopacidae;Valkoviklo;Gluttsnäppa;TRINEB;Tringa nebularia;A;Common Greenshank;Snäppor;
360;Kurpat;Sandpipers, Snipes;Scolopacidae;Keltajalkaviklo;Mindre gulbena;TRIFLA;Tringa flavipes;A;Lesser Yellowlegs;Snäppor;
361;Kurpat;Sandpipers, Snipes;Scolopacidae;Metsäviklo;Skogssnäppa;TRIOCH;Tringa ochropus;A;Green Sandpiper;Snäppor;
362;Kurpat;Sandpipers, Snipes;Scolopacidae;Liro;Grönbena;TRIGLA;Tringa glareola;A;Wood Sandpiper;Snäppor;
363;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantakurvi;Tereksnäppa;XENCIN;Xenus cinereus;A;Terek Sandpiper;Snäppor;
364;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantasipilaji;Actitis (släktet);ACTSP;Actitis sp;S;Actitis (genus);Snäppor;
365;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantasipi;Drillsnäppa;ACTHYP;Actitis hypoleucos;A;Common Sandpiper;Snäppor;
366;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikansipi;Fläckdrillsnäppa;ACTMAC;Actitis macularius;A;Spotted Sandpiper;Snäppor;
367;Kurpat;Sandpipers, Snipes;Scolopacidae;Preeriaviklo;Willetsnäppa;CATSEM;Catoptrophorus semipalmatus;A;Willet;Snäppor;
368;Kurpat;Sandpipers, Snipes;Scolopacidae;Karikukko;Roskarl;AREINT;Arenaria interpres;A;Ruddy Turnstone;Snäppor;
369;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääskylaji;Phalaropus (släktet);PHAUSSP;Phalaropus sp;S;Phalaropus (genus);Snäppor;
370;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikanvesipääsky;Wilsonsimsnäppa;PHATRI;Phalaropus tricolor;A;Wilson's Phalarope;Snäppor;
371;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääsky;Smalnäbbad simsnäppa;PHALOB;Phalaropus lobatus;A;Red-necked Phalarope;Snäppor;
372;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääsky / isovesipääsky;Smalnäbbad simsnäppa / brednäbbad simsnäppa;PHALOB/PHAFUL;Phalaropus lobatus/fulicarius;S;Red-necked / Red Phalarope;Snäppor;
373;Kurpat;Sandpipers, Snipes;Scolopacidae;Isovesipääsky;Brednäbbad simsnäppa;PHAFUL;Phalaropus fulicarius;A;Red Phalarope;Snäppor;
374;;;;Kahlaajaristeymä;Vadarhybrid;XK;X Kahlaajaristeymä;X;Hybrid Shorebird;;
375;;;;Kahlaaja;Ob. vadare;K;Kahlaaja;S;Shorebird;;
376;;;;Iso kahlaaja;Stor vadare;IK;Iso kahlaaja;S;Large sized shorebird;;
377;;;;Keskikokoinen kahlaaja;Medelstor vadare;KK;Keskikokoinen kahlaaja;S;Medium sized shorebird;;
378;;;;Pieni kahlaaja;Liten vadare;PK;Pieni kahlaaja;S;Small sized shorebird;;
379;;;;Keskikokoinen / iso kahlaaja;Medelstor / stor vadare;KK/IK;Keskikokoinen / iso kahlaaja;S;Medium / Large sized shorebird;;
380;;;;Pieni / keskikokoinen kahlaaja;Liten / medelstor vadare;PK/KK;Pieni / keskikokoinen kahlaaja;S;Small / Medium sized shorebird;;
381;Kihut;Skuas;Stercorariidae;Kihulaji;Stercorarius (släktet);STERCSP;Stercorarius sp;S;Stercorarius (genus);Labbar;
382;Kihut;Skuas;Stercorariidae;Leveäpyrstökihu;Bredstjärtad labb;STEPOM;Stercorarius pomarinus;A;Pomarine Skua;Labbar;
383;Kihut;Skuas;Stercorariidae;Leveäpyrstökihu / merikihu;Bredstjärtad labb / kustlabb;STEPOM/STECUS;Stercorarius pomarinus/parasiticus;S;Pomarine / Arctic Skua;Labbar;
384;Kihut;Skuas;Stercorariidae;Merikihu;Kustlabb;STECUS;Stercorarius parasiticus;A;Arctic Skua;Labbar;
385;Kihut;Skuas;Stercorariidae;Tunturikihu;Fjällabb;STELON;Stercorarius longicaudus;A;Long-tailed Skua;Labbar;
386;Kihut;Skuas;Stercorariidae;Isokihu;Storlabb;STESKU;Stercorarius skua;A;Great Skua;Labbar;
387;Lokit;Gulls;Laridae;Lokkilaji;Larus (släktet);LARSP;Larus sp;S;Larus (genus);Måsfåglar;
388;Lokit;Gulls;Laridae;Mustanmerenlokki;Svarthuvad mås;LARMEL;Larus melanocephalus;A;Mediterranean Gull;Måsfåglar;
389;Lokit;Gulls;Laridae;Nokisiipilokki;Sotvingad mås;LARATR;Larus atricilla;A;Laughing Gull;Måsfåglar;
390;Lokit;Gulls;Laridae;Preerianaurulokki;Präriemås;LARPIP;Larus pipixcan;A;Franklin's Gull;Måsfåglar;
391;Lokit;Gulls;Laridae;Pikkulokki;Dvärgmås;HYDMIN;Hydrocoloeus minutus;A;Little Gull;Måsfåglar;
392;Lokit;Gulls;Laridae;Pikkulokki / pikkukajava;Dvärgmås / tretåig mås;LARMIN/RISTRI;Hydrocoloeus minutus/Rissa tridactyla;S;Little Gull / Black-legged Kittiwake;Måsfåglar;
393;Lokit;Gulls;Laridae;Tiiralokki;Tärnmås;XEMSAB;Xema sabini;A;Sabine's Gull;Måsfåglar;
394;Lokit;Gulls;Laridae;Naurulokki;Skrattmås;LARRID;Larus ridibundus;A;Black-headed Gull;Måsfåglar;
395;Lokit;Gulls;Laridae;Kaitanokkalokki;Långnäbbad mås;LARGEN;Larus genei;A;Slender-billed Gull;Måsfåglar;
396;Lokit;Gulls;Laridae;Välimerenlokki;Rödnäbbad trut;LARAUD;larus audouinii;A;Audouin's Gull;Måsfåglar;
397;Lokit;Gulls;Laridae;Kalalokki;Fiskmås;LARCAN;Larus canus;A;Common Gull;Måsfåglar;
398;Lokit;Gulls;Laridae;Kalalokki (alalaji canus);Fiskmås (rasen canus);LARCANCAN;Larus canus canus;R;Common Gull (subspecies canus);Måsfåglar;
399;Lokit;Gulls;Laridae;Kalalokki (alalaji heinei);Fiskmås (rasen heinei);LARCANHEI;Larus canus heinei;R;Common Gull (subspecies heinei)';Måsfåglar;
400;Lokit;Gulls;Laridae;Kalalokki / harmaalokki;Fiskmås / gråtrut;LARCAN/LARARG;Larus canus/argentatus;S;Common / Herring Gull;Måsfåglar;
401;Lokit;Gulls;Laridae;Selkälokki;Silltrut;LARFUS;Larus fuscus;A;Lesser Black-backed Gull;Måsfåglar;
402;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii);Silltrut (rasen graellsii);LARFUSGRA;Larus fuscus graellsii;R;Lesser Black-backed Gull (subspecies graellsii);Måsfåglar;
403;Lokit;Gulls;Laridae;Selkälokki (alalaji intermedius);Silltrut (rasen intermedius);LARFUSINT;Larus fuscus intermedius;R;Lesser Black-backed Gull (subspecies intermedius);Måsfåglar;
404;Lokit;Gulls;Laridae;Selkälokki (alalaji fuscus);Silltrut (rasen fuscus);LARFUSFUS;Larus fuscus fuscus;R;Lesser Black-backed Gull (subspecies fuscus);Måsfåglar;
405;Lokit;Gulls;Laridae;Selkälokki (alalaji heuglini);Silltrut (rasen heuglini);LARFUSHEU;Larus fuscus heuglini;R;Lesser Black-backed Gull (subspecies heuglini);Måsfåglar;
406;Lokit;Gulls;Laridae;Selkälokki / merilokki;Silltrut / havstrut;LARFUS/LARMAR;Larus fuscus/marinus;S;Lesser / Great Black-backed Gull;Måsfåglar;
407;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii) / selkälokki (alalaji intermedius) / selkälokki (alalaji heuglini);Silltrut (rasen graellsii) / silltrut (rasen intermedius) / silltrut (rasen heuglini);LARFUSGRA/LARFUSINT/LARFUSHEU;Larus fuscus graellsii/intermedius/heuglini;S;Lesser Black-backed Gull (subspecies graellsii/intermedius/heuglini);Måsfåglar;
408;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii) / selkälokki (alalaji intermedius);Silltrut (rasen graellsii) / silltrut (rasen intermedius);LARFUSGRA/LARFUSINT;Larus fuscus graellsii/intermedius;S;Lesser Black-backed Gull (subspecies graellsii/intermedius);Måsfåglar;
409;Lokit;Gulls;Laridae;Selkälokki X harmaalokki;Silltrut X gråtrut;LARFUSXLARARG;Larus fuscus x argentatus;X;Lesser Black-backed / Herring Gull;Måsfåglar;
410;Lokit;Gulls;Laridae;Harmaalokki;Gråtrut;LARARG;Larus argentatus;A;Herring Gull;Måsfåglar;
411;Lokit;Gulls;Laridae;Harmaalokki / aroharmaalokki;Gråtrut / kaspisk trut;LARARG/LARCAC;Larus argentatus x cachinnans;X;Herring / Caspian Gull;Måsfåglar;
412;Lokit;Gulls;Laridae;Harmaalokki X grönlanninlokki;Gråtrut X vitvingad trut;LARARGXLARGLA;Larus argentatus x glaucoides;X;Herring X Iceland Gull;Måsfåglar;
413;Lokit;Gulls;Laridae;Harmaalokki X isolokki;Gråtrut X vittrut;LARARGXLARHYP;Larus argentatus x hyperboreus;X;Herring X Glaucous Gull;Måsfåglar;
414;Lokit;Gulls;Laridae;Harmaalokki X merilokki;Gråtrut X havstrut;LARARGXLARMAR;Larus argentatus x marinus;X;Herring X Great Black-backed Gull;Måsfåglar;
415;Lokit;Gulls;Laridae;Etelänharmaalokki;Medelhavstrut;LARMIC;Larus michahellis;A;Yellow-legged Gull;Måsfåglar;
416;Lokit;Gulls;Laridae;Aroharmaalokki;Kaspisk trut;LARCAC;Larus cachinnans;A;Caspian Gull;Måsfåglar;
417;Lokit;Gulls;Laridae;Grönlanninlokki;Vitvingad trut;LARGLA;Larus glaucoides;A;Iceland Gull;Måsfåglar;
418;Lokit;Gulls;Laridae;Grönlanninlokki (alalaji glaucoides);Vitvingad trut (rasen glaucoides);LARGLAGLA;Larus glaucoides glaucoides;R;Iceland Gull ( subspecies glaucoides);Måsfåglar;
419;Lokit;Gulls;Laridae;Grönlanninlokki (alalaji kumlieni);Vitvingad trut (rasen kumlieni);LARGLAKUM;Larus glaucoides kumlieni;R;Iceland Gull (subspecies kumlieni);Måsfåglar;
420;Lokit;Gulls;Laridae;Grönlanninlokki / isolokki;Vitvingad trut / vittrut;LARGLA/LARHYP;Larus glaucoides/hyperboreus;S;Iceland / Glaucous Gull;Måsfåglar;
421;Lokit;Gulls;Laridae;Isolokki;Vittrut;LARHYP;Larus hyperboreus;A;Glaucous Gull;Måsfåglar;
422;Lokit;Gulls;Laridae;Merilokki;Havstrut;LARMAR;Larus marinus;A;Great Black-backed Gull;Måsfåglar;
423;Lokit;Gulls;Laridae;Merilokki / harmaalokki / selkälokki / isolokki;Ob. trut;ILAR;Iso Larus;S;Great Black-backed / Herring / Lesser Black-backed / Glaucous Gull;Måsfåglar;
424;Lokit;Gulls;Laridae;Ruusulokki;Rosenmås;RHOROS;Rhodostethia rosea;A;Ross's Gull;Måsfåglar;
425;Lokit;Gulls;Laridae;Pikkukajava;Tretåig mås;RISTRI;Rissa tridactyla;A;Black-legged Kittiwake;Måsfåglar;
426;Lokit;Gulls;Laridae;Kalalokki / naurulokki / pikkulokki / pikkukajava;Ob. mås;PLAR;Pieni Larus;S;Common / Black-headed / Little Gull / Black-legged Kittiwake;Måsfåglar;
427;Lokit;Gulls;Laridae;Jäälokki;Ismås;PAGEBU;Pagophila eburnea;A;Ivory Gull;Måsfåglar;
428;Lokit;Gulls;Laridae;Lokkiristeymä;Mås- / truthybrid;XLAR;x Larus;X;Hybrid Gull;Måsfåglar;
429;Tiirat;Terns;Sternidae;Tiira;Ob. tärna;STERNSP/CHLSP;Sterna sp/Chlidonias sp;S;Tern (Sterna / Chlidonias);Tärnor;
430;Tiirat;Terns;Sternidae;Tiiralaji (Sterna);Sterna (släktet);STERNSP;Sterna sp;S;Sterna (genus);Tärnor;
431;Tiirat;Terns;Sternidae;Hietatiira;Sandtärna;STENIL;Sterna nilotica;A;Gull-billed Tern;Tärnor;
432;Tiirat;Terns;Sternidae;Hietatiira / riuttatiira;Sandtärna / kentsk tärna;STENIL/STESAN;Sterrna nilotica/sandvicensis;S;Gull-billed / Sandwich Tern;Tärnor;
433;Tiirat;Terns;Sternidae;Räyskä;Skräntärna;HYDCAS;Hydroprogne caspia;A;Caspian Tern;Tärnor;
434;Tiirat;Terns;Sternidae;Riuttatiira;Kentsk tärna;STESAN;Sterna sandvicensis;A;Sandwich Tern;Tärnor;
435;Tiirat;Terns;Sternidae;Kalatiira;Fisktärna;STEHIR;Sterna hirundo;A;Common Tern;Tärnor;
436;Tiirat;Terns;Sternidae;Kalatiira / lapintiira;Fisktärna / silvertärna;STEHIR/STEAEA;Sterna hirundo/paradisaea;S;Common / Arctic Tern;Tärnor;
437;Tiirat;Terns;Sternidae;Lapintiira;Silvertärna;STEAEA;Sterna paradisaea;A;Arctic Tern;Tärnor;
438;Tiirat;Terns;Sternidae;Pikkutiira;Småtärna;STEALB;Sternula albifrons;A;Little Tern;Tärnor;
439;Tiirat;Terns;Sternidae;Mustatiiralaji;Chlidonias (släktet);CHLSP;Chlidonias sp;S;Chlidonias (genus);Tärnor;
440;Tiirat;Terns;Sternidae;Valkoposkitiira;Skäggtärna;CHLHYB;Chlidonias hybrida;A;Whiskered Tern;Tärnor;
441;Tiirat;Terns;Sternidae;Mustatiira;Svarttärna;CHLNIG;Chlidonias niger;A;Black Tern;Tärnor;
442;Tiirat;Terns;Sternidae;Valkosiipitiira;Vitvingad tärna;CHLLEU;Chlidonias leucopterus;A;White-winged Tern;Tärnor;
443;Ruokit;Auks;Alcidae;Etelänkiisla;Sillgrissla;URIAAL;Uria aalge;A;Common Guillemot;Alkor;
444;Ruokit;Auks;Alcidae;Pohjankiisla;Spetsbergsgrissla;URILOM;Uria lomvia;A;Brunnich's Guillemot;Alkor;
445;Ruokit;Auks;Alcidae;Ruokki;Tordmule;ALCTOR;Alca torda;A;Razorbill;Alkor;
446;Ruokit;Auks;Alcidae;Kiislalaji / ruokki;Ob. alka;URI/ALC;Uria/Alca;S;Guillemot / Razorbill;Alkor;
447;Ruokit;Auks;Alcidae;Riskilä;Tobisgrissla;CEPGRY;Cepphus grylle;A;Black Guillemot;Alkor;
448;Ruokit;Auks;Alcidae;Pikkuruokki;Alkekung;ALLALL;Alle alle;A;Little Auk;Alkor;
449;Ruokit;Auks;Alcidae;Lunni;Lunnefågel;FRAARC;Fratercula arctica;A;Atlantic Puffin;Alkor;
450;Hietakyyhkyt;Sandgrouse;Pteroclididae;Arokyyhky;Stäppflyghöna;SYRPAR;Syrrhaptes paradoxus;A;Pallas's Sandgrouse;Flyghöns;
451;Kyyhkyt;Doves, Pigeons;Columbidae;Columba (suku);Columba (släktet);COLSP;Columba sp;S;Columba (genus);Duvor;
452;Kyyhkyt;Doves, Pigeons;Columbidae;Kesykyyhky;Klippduva;COLLIV;Columba livia;C;Common Pigeon;Duvor;
453;Kyyhkyt;Doves, Pigeons;Columbidae;Uuttukyyhky;Skogsduva;COLOEN;Columba oenas;A;Stock Dove;Duvor;
454;Kyyhkyt;Doves, Pigeons;Columbidae;Sepelkyyhky;Ringduva;COLPAL;Columba palumbus;A;Common Wood Pigeon;Duvor;
455;Kyyhkyt;Doves, Pigeons;Columbidae;Streptopelia (suku);Streptopelia (släktet);STREPSP;Streptopelia sp;S;Streptopelia (genus);Duvor;
456;Kyyhkyt;Doves, Pigeons;Columbidae;Turkinkyyhky;Turkduva;STRDEC;Streptopelia decaocto;A;Eurasian Collared Dove;Duvor;
457;Kyyhkyt;Doves, Pigeons;Columbidae;Turkinkyyhky X turturikyyhky;Turkduva X turturduva;STRDECXSTRTUR;Streptopelia decaocto x turtur;X;Eurasian Collared X European Turtle Dove;Duvor;
458;Kyyhkyt;Doves, Pigeons;Columbidae;Turturikyyhky;Turturduva;STRTUR;Streptopelia turtur;A;European Turtle Dove;Duvor;
459;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky;Större turturduva;STRORI;Streptopelia orientalis;A;Oriental Turtle Dove;Duvor;
460;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky (alalaji meena);Större turturduva (rasen meena);STRORIMEE;Streptopelia orientalis meena;R;Oriental Turtle Dove (subspecies meena);Duvor;
461;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky (alalaji orientalis);Större turturduva (rasen orientalis);STRORIORI;Streptopelia orientalis orientalis;R;Oriental Turtle Dove (subspecies orientalis);Duvor;
462;Kyyhkyt;Doves, Pigeons;Columbidae;Palmukyyhky;Palmduva;STRSEN;Streptopelia senegalensis;E;Laughing Dove;Duvor;
463;Papukaijat;Cockatoos, Parrots;Psittacidae;Kauluskaija;Halsbandsparakit;PSIKRA;Psittacula krameri;E;Rose-ringed Parakeet;Papegojor;
464;Käet;Cuckoos;Cuculidae;Jakobiinikäki;Jakobinskatgök;CLAJAC;Clamator jacobinus;E;Jacobin Cuckoo;Gökar;
465;Käet;Cuckoos;Cuculidae;Harakkakäki;Skatgök;CLAGLA;Clamator glandarius;B;Great Spotted Cuckoo;Gökar;
466;Käet;Cuckoos;Cuculidae;Käkilaji;Cuculus (släktet);CUCSP;Cuculus sp;S;Cuculus (genus);Gökar;
467;Käet;Cuckoos;Cuculidae;Käki;Gök;CUCCAN;Cuculus canorus;A;Common Cuckoo;Gökar;
468;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö;Tornuggla;TYTALB;Tyto alba;A;Barn Owl;Tornugglor;
469;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö (alalaji alba);Tornuggla (rasen alba);TYTALBALB;Tyto alba alba;R;Barn Owl (subspecies alba);Tornugglor;
470;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö (alalaji guttata);Tornuggla (rasen guttata);TYTALBGUT;Tyto alba guttata;R;Barn Owl (subspecies guttata);Tornugglor;
471;Pöllöt;Owls;Strigidae;Kyläpöllönen;Dvärguv;OTUSCO;Otus scops;A;Eurasian Scops Owl;Egentliga ugglor;
472;Pöllöt;Owls;Strigidae;Huuhkaja;Berguv;BUBBUB;Bubo bubo;A;Eurasian Eagle Owl;Egentliga ugglor;
473;Pöllöt;Owls;Strigidae;Tunturipöllö;Fjälluggla;BUBSCA;Bubo scandiacus;A;Snowy Owl;Egentliga ugglor;
474;Pöllöt;Owls;Strigidae;Hiiripöllö;Hökuggla;SURULU;Surnia ulula;A;Northern Hawk Owl;Egentliga ugglor;
475;Pöllöt;Owls;Strigidae;Varpuspöllö;Sparvuggla;GLAPAS;Glaucidium passerinum;A;Eurasian Pygmy Owl;Egentliga ugglor;
476;Pöllöt;Owls;Strigidae;Minervanpöllö;Minervauggla;ATHNOC;Athene noctua;A;Little Owl;Egentliga ugglor;
477;Pöllöt;Owls;Strigidae;Viirupöllölaji;Strix (släktet);STRIXSP;Strix sp;S;Strix (genus);Egentliga ugglor;
478;Pöllöt;Owls;Strigidae;Lehtopöllö;Kattuggla;STRALU;Strix aluco;A;Tawny Owl;Egentliga ugglor;
479;Pöllöt;Owls;Strigidae;Viirupöllö;Slaguggla;STRURA;Strix uralensis;A;Ural Owl;Egentliga ugglor;
480;Pöllöt;Owls;Strigidae;Viirupöllö / lapinpöllö;Slaguggla / lappuggla;STRURA/STRNEB;Strix uralensis/nebulosa;S;Ural / Great Grey Owl;Egentliga ugglor;
481;Pöllöt;Owls;Strigidae;Lapinpöllö;Lappuggla;STRNEB;Strix nebulosa;A;Great Grey Owl;Egentliga ugglor;
482;Pöllöt;Owls;Strigidae;Sarvipöllölaji;Asio (släktet);ASISP;Asio sp;S;Asio (genus);Egentliga ugglor;
483;Pöllöt;Owls;Strigidae;Sarvipöllö;Hornuggla;ASIOTU;Asio otus;A;Long-eared Owl;Egentliga ugglor;
484;Pöllöt;Owls;Strigidae;Suopöllö;Jorduggla;ASIFLA;Asio flammeus;A;Short-eared Owl;Egentliga ugglor;
485;Pöllöt;Owls;Strigidae;Helmipöllö;Pärluggla;AEGFUN;Aegolius funereus;A;Tengmalm's Owl;Egentliga ugglor;
486;Pöllöt;Owls;Strigidae;Iso pöllö;Stor uggla;IPÖL;Iso pöllö;S;Large sized Owl;Egentliga ugglor;
487;Pöllöt;Owls;Strigidae;Keskikokoinen pöllö;Medelstor uggla;KPÖL;Keskikokoinen pöllö;S;Medium sized Owl;Egentliga ugglor;
488;Pöllöt;Owls;Strigidae;Pieni pöllö;Liten uggla;PPÖL;Pieni pöllö;S;Small sized Owl;Egentliga ugglor;
489;Pöllöt;Owls;Strigidae;Pöllö;Ob. uggla;PÖL;Pöllö;S;Owl;Egentliga ugglor;
490;Kehrääjät;Nightjars;Caprimulgidae;Kehrääjä;Nattskärra;CAPEUR;Caprimulgus europaeus;A;European Nightjar;Nattskärror;
491;Kiitäjät;Swifts;Apodidae;Piikkikiitäjälaji;Hirundapus (släktet);HIRUSSP;Hirundapus sp;S;Hirundapus (genus);Seglare;
492;Kiitäjät;Swifts;Apodidae;Piikkipyrstökiitäjä;Taggstjärtseglare;HIRCAU;Hirundapus caudacutus;A;White-throated Needletail;Seglare;
493;Kiitäjät;Swifts;Apodidae;Tervakiitäjälaji;Apus (släktet);APUSP;Apus sp;S;Apus (genus);Seglare;
494;Kiitäjät;Swifts;Apodidae;Alppikiitäjä;Alpseglare;APUMEL;Apus melba;A;Alpine Swift;Seglare;
495;Kiitäjät;Swifts;Apodidae;Tervapääsky;Tornseglare;APUAPU;Apus apus;A;Common Swift;Seglare;
496;Kiitäjät;Swifts;Apodidae;Vaaleakiitäjä;Blek tornseglare;APUPAL;Apus pallidus;A;Pallid Swift;Seglare;
497;Kiitäjät;Swifts;Apodidae;Kafferikiitäjä;Kafferseglare;APUCAF;Apus caffer;A;White-rumped Swift;Seglare;
498;Kuningaskalastajat;Kingfishers;Alcedinidae;Kuningaskalastaja;Kungsfiskare;ALCATT;Alcedo atthis;A;Common Kingfisher;Kungfiskare;
499;Mehiläissyöjät;Bee-eaters;Meropidae;Mehiläissyöjälaji;Merops (släktet);MEROPSP;Merops sp;S;Merops (genus);Biätare;
500;Mehiläissyöjät;Bee-eaters;Meropidae;Vihermehiläissyöjä;Grön biätare;MERPER;Merops persicus;A;Blue-cheeked Bee-eater;Biätare;
501;Mehiläissyöjät;Bee-eaters;Meropidae;Mehiläissyöjä;Biätare;MERAPI;Merops apiaster;A;European Bee-eater;Biätare;
502;Sininärhet;Rollers;Coraciidae;Sininärhi;Blåkråka;CORGAR;Coracias garrulus;A;European Roller;Blåkråkor;
503;Harjalinnut;Hoopoes;Upupidae;Harjalintu;Härfågel;UPUEPO;Upupa epops;A;Hoopoe;Härfåglar;
504;Tikat;Woodpeckers;Picidae;Käenpiika;Göktyta;JYNTOR;Jynx torquilla;A;Northern Wryneck;Hackspettar;
505;Tikat;Woodpeckers;Picidae;Vihertikkalaji;Picus (släktet);PICUSSP;Picus sp;S;Picus (genus);Hackspettar;
506;Tikat;Woodpeckers;Picidae;Harmaapäätikka;Gråspett;PICCAN;Picus canus;A;Grey-headed Woodpecker;Hackspettar;
507;Tikat;Woodpeckers;Picidae;Harmaapäätikka / vihertikka;Gråspett / gröngöling;PICCAN/PICVIR;Picus canus/viridis;S;Green / Grey-headed Woodpecker;Hackspettar;
508;Tikat;Woodpeckers;Picidae;Vihertikka;Gröngöling;PICVIR;Picus viridis;A;European Green Woodpecker;Hackspettar;
509;Tikat;Woodpeckers;Picidae;Palokärki;Spillkråka;DRYMAR;Dryocopus martius;A;Black Woodpecker;Hackspettar;
510;Tikat;Woodpeckers;Picidae;Kirjotikkalaji;Dendrocopos (släktet);DENSP;Dendrocopos sp;S;Dendrocopos (genus);Hackspettar;
511;Tikat;Woodpeckers;Picidae;Käpytikka;Större hackspett;DENMAJ;Dendrocopos major;A;Great Spotted Woodpecker;Hackspettar;
512;Tikat;Woodpeckers;Picidae;Käpytikka X valkoselkätikka;Större hackspett X vitryggig hackspett;DENMAJXDENLEU;Dendrocopos major x leucotos;X;Great Spotted X White-backed Woodpecker;Hackspettar;
513;Tikat;Woodpeckers;Picidae;Tammitikka;Mellanspett;DENMED;Dendrocopos medius;A;Middle Spotted Woodpecker;Hackspettar;
514;Tikat;Woodpeckers;Picidae;Valkoselkätikka;Vitryggig hackspett;DENLEU;Dendrocopos leucotos;A;White-backed Woodpecker;Hackspettar;
515;Tikat;Woodpeckers;Picidae;Valkoselkätikka / pikkutikka;Vitryggig hackspett / mindre hackspett;DENLEU/DENMIN;Dendrocopos leucotos/minor;S;White-backed / Lesser Spotted Woodpecker;Hackspettar;
516;Tikat;Woodpeckers;Picidae;Pikkutikka;Mindre hackspett;DENMIN;Dendrocopos minor;A;Lesser Spotted Woodpecker;Hackspettar;
