Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
76;Sorsat;Ducks;Anatidae;Punatavi;Kanelårta;ANACYA;Anas cyanoptera;E;Cinnamon Teal;Änder;
77;Sorsat;Ducks;Anatidae;Sorsaristeymä;Simandhybrid;XANA;x Anas;X;Hybrid Goose;Änder;
78;Sorsat;Ducks;Anatidae;Punapäänarsku;Rödhuvad dykand;NETRUF;Netta rufina;A;Red-crested Pochard;Änder;
79;Sorsat;Ducks;Anatidae;Sotkalaji;Aythya (släktet);AYTSP;Aythya sp;S;Aythya (genus);Änder;
80;Sorsat;Ducks;Anatidae;Punasotka;Brunand;AYTFER;Aythya ferina;A;Common Pochard;Änder;
81;Sorsat;Ducks;Anatidae;Punasotka X tukkasotka;Brunand X vigg;AYTFERXAYTFUL;Aythya ferina x fuligula;X;Common Pochard X Tufted Duck;Änder;
82;Sorsat;Ducks;Anatidae;Amerikantukkasotka;Ringand;AYTCOL;Aythya collaris;A;Ring-necked;Änder;
83;Sorsat;Ducks;Anatidae;Amerikantukkasotka X tukkasotka;Ringand X vigg;AYTCOLXAYTFUL;Aythya collaris x fuligula;X;Ring-necked X Tufted Duck;Änder;
84;Sorsat;Ducks;Anatidae;Ruskosotka;Vitögd dykand;AYTNYR;Aythya nyroca;A;Ferruginous Duck;Änder;
85;Sorsat;Ducks;Anatidae;Tukkasotka;Vigg;AYTFUL;Aythya fuligula;A;Tufted Duck;Änder;
86;Sorsat;Ducks;Anatidae;Tukkasotka / lapasotka;Vigg / bergand;AYTFUL/AYTMAR;Aythya fuligula/marila;S;Tufted Duck / Greater Scaup;Änder;
87;Sorsat;Ducks;Anatidae;Tukkasotka X lapasotka;Vigg X bergand;AYTFULXAYTMAR;Aythya fuligula x marila;X;Tufted Duck X Greater Scaup;Änder;
88;Sorsat;Ducks;Anatidae;Lapasotka;Bergand;AYTMAR;Aythya marila;A;Greater Scaup;Änder;
89;Sorsat;Ducks;Anatidae;Pikkulapasotka;Mindre bergand;AYTAFF;Aythya affinis;A;Lesser Scaup;Änder;
90;Sorsat;Ducks;Anatidae;Sotkaristeymä;Dykandhybrid;XAYT;x Aythya;X;Hybrid Aythya;Änder;
91;Sorsat;Ducks;Anatidae;Haahkalaji;Somateria (släktet);SOMSP;Somateria sp;S;Somateria (genus);Änder;
92;Sorsat;Ducks;Anatidae;Haahka;Ejder;SOMMOL;Somateria mollissima;A;Common Eider;Änder;
93;Sorsat;Ducks;Anatidae;Haahka X kyhmyhaahka;Ejder X praktejder;SOMMOLXSOMSPE;Somateria mollissima x spectabilis;X;Common X King Eider;Änder;
94;Sorsat;Ducks;Anatidae;Haahka X isokoskelo;Ejder X storskrake;SOMMOLXMERMER;Somateria mollissima x Mergus merganser;X;Common Eider X Goosander;Änder;
95;Sorsat;Ducks;Anatidae;Kyhmyhaahka;Praktejder;SOMSPE;Somateria spectabilis;A;King Eider;Änder;
96;Sorsat;Ducks;Anatidae;Allihaahka;Alförrädare;POLSTE;Polysticta stelleri;A;Steller's Eider;Änder;
97;Sorsat;Ducks;Anatidae;Virta-alli;Strömand;HISHIS;Histrionicus histrionicus;A;Harlequin Duck;Änder;
98;Sorsat;Ducks;Anatidae;Alli;Alfågel;CLAHYE;Clangula hyemalis;A;Long-tailed Duck;Änder;
99;Sorsat;Ducks;Anatidae;Mustalintulaji;Melanitta (släktet);MELSP;Melanitta sp;S;Melanitta (genus);Änder;
100;Sorsat;Ducks;Anatidae;Mustalintu;Sjöorre;MELNIG;Melanitta nigra;A;Common Scoter;Änder;
101;Sorsat;Ducks;Anatidae;Mustalintu (alalaji nigra);Sjöorre (rasen nigra);MELNIGNIG;Melanitta nigra nigra;R;Common Scoter (subspecies nigra);Änder;
102;Sorsat;Ducks;Anatidae;Amerikanmustalintu;Amerikansk sjöorre;MELAME;Melanitta americana;A;Black Scoter;Änder;
103;Sorsat;Ducks;Anatidae;Pilkkaniska;Vitnackad svärta;MELPER;Melanitta perspicillata;A;Surf Scoter;Änder;
