;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
425;Lokit;Gulls;Laridae;Pikkukajava;Tretåig mås;RISTRI;Rissa tridactyla;A;
426;Lokit;Gulls;Laridae;Kalalokki / naurulokki / pikkulokki / pikkukajava;Ob. mås;PLAR;Pieni Larus;S;
427;Lokit;Gulls;Laridae;Jäälokki;Ismås;PAGEBU;Pagophila eburnea;A;
428;Lokit;Gulls;Laridae;Lokkiristeymä;Mås- / truthybrid;XLAR;x Larus;X;
429;Tiirat;Terns;Sternidae;Tiira;Ob. tärna;STERNSP/CHLSP;Sterna sp/Chlidonias sp;S;
430;Tiirat;Terns;Sternidae;Tiiralaji (Sterna);Sterna (släktet);STERNSP;Sterna sp;S;
431;Tiirat;Terns;Sternidae;Hietatiira;Sandtärna;STENIL;Sterna nilotica;A;
432;Tiirat;Terns;Sternidae;Hietatiira / riuttatiira;Sandtärna / kentsk tärna;STENIL/STESAN;Sterrna nilotica/sandvicensis;S;
433;Tiirat;Terns;Sternidae;Räyskä;Skräntärna;HYDCAS;Hydroprogne caspia;A;
434;Tiirat;Terns;Sternidae;Riuttatiira;Kentsk tärna;STESAN;Sterna sandvicensis;A;
435;Tiirat;Terns;Sternidae;Kalatiira;Fisktärna;STEHIR;Sterna hirundo;A;
436;Tiirat;Terns;Sternidae;Kalatiira / lapintiira;Fisktärna / silvertärna;STEHIR/STEAEA;Sterna hirundo/paradisaea;S;
437;Tiirat;Terns;Sternidae;Lapintiira;Silvertärna;STEAEA;Sterna paradisaea;A;
438;Tiirat;Terns;Sternidae;Pikkutiira;Småtärna;STEALB;Sternula albifrons;A;
439;Tiirat;Terns;Sternidae;Mustatiiralaji;Chlidonias (släktet);CHLSP;Chlidonias sp;S;
440;Tiirat;Terns;Sternidae;Valkoposkitiira;Skäggtärna;CHLHYB;Chlidonias hybrida;A;
441;Tiirat;Terns;Sternidae;Mustatiira;Svarttärna;CHLNIG;Chlidonias niger;A;
442;Tiirat;Terns;Sternidae;Valkosiipitiira;Vitvingad tärna;CHLLEU;Chlidonias leucopterus;A;
443;Ruokit;Auks;Alcidae;Etelänkiisla;Sillgrissla;URIAAL;Uria aalge;A;
444;Ruokit;Auks;Alcidae;Pohjankiisla;Spetsbergsgrissla;URILOM;Uria lomvia;A;
445;Ruokit;Auks;Alcidae;Ruokki;Tordmule;ALCTOR;Alca torda;A;
446;Ruokit;Auks;Alcidae;Kiislalaji / ruokki;Ob. alka;URI/ALC;Uria/Alca;S;
447;Ruokit;Auks;Alcidae;Riskilä;Tobisgrissla;CEPGRY;Cepphus grylle;A;
448;Ruokit;Auks;Alcidae;Pikkuruokki;Alkekung;ALLALL;Alle alle;A;
449;Ruokit;Auks;Alcidae;Lunni;Lunnefågel;FRAARC;Fratercula arctica;A;
450;Hietakyyhkyt;Sandgrouse;Pteroclididae;Arokyyhky;Stäppflyghöna;SYRPAR;Syrrhaptes paradoxus;A;
451;Kyyhkyt;Doves, Pigeons;Columbidae;Columba (suku);Columba (släktet);COLSP;Columba sp;S;
452;Kyyhkyt;Doves, Pigeons;Columbidae;Kesykyyhky;Klippduva;COLLIV;Columba livia;C;
453;Kyyhkyt;Doves, Pigeons;Columbidae;Uuttukyyhky;Skogsduva;COLOEN;Columba oenas;A;
454;Kyyhkyt;Doves, Pigeons;Columbidae;Sepelkyyhky;Ringduva;COLPAL;Columba palumbus;A;
455;Kyyhkyt;Doves, Pigeons;Columbidae;Streptopelia (suku);Streptopelia (släktet);STREPSP;Streptopelia sp;S;
456;Kyyhkyt;Doves, Pigeons;Columbidae;Turkinkyyhky;Turkduva;STRDEC;Streptopelia decaocto;A;
457;Kyyhkyt;Doves, Pigeons;Columbidae;Turkinkyyhky X turturikyyhky;Turkduva X turturduva;STRDECXSTRTUR;Streptopelia decaocto x turtur;X;
458;Kyyhkyt;Doves, Pigeons;Columbidae;Turturikyyhky;Turturduva;STRTUR;Streptopelia turtur;A;
459;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky;Större turturduva;STRORI;Streptopelia orientalis;A;
460;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky (alalaji meena);Större turturduva (rasen meena);STRORIMEE;Streptopelia orientalis meena;R;
461;Kyyhkyt;Doves, Pigeons;Columbidae;Idänturturikyyhky (alalaji orientalis);Större turturduva (rasen orientalis);STRORIORI;Streptopelia orientalis orientalis;R;
462;Kyyhkyt;Doves, Pigeons;Columbidae;Palmukyyhky;Palmduva;STRSEN;Streptopelia senegalensis;E;
463;Papukaijat;Cockatoos, Parrots;Psittacidae;Kauluskaija;Halsbandsparakit;PSIKRA;Psittacula krameri;E;
464;Käet;Cuckoos;Cuculidae;Jakobiinikäki;Jakobinskatgök;CLAJAC;Clamator jacobinus;E;
465;Käet;Cuckoos;Cuculidae;Harakkakäki;Skatgök;CLAGLA;Clamator glandarius;B;
466;Käet;Cuckoos;Cuculidae;Käkilaji;Cuculus (släktet);CUCSP;Cuculus sp;S;
467;Käet;Cuckoos;Cuculidae;Käki;Gök;CUCCAN;Cuculus canorus;A;
468;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö;Tornuggla;TYTALB;Tyto alba;A;
469;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö (alalaji alba);Tornuggla (rasen alba);TYTALBALB;Tyto alba alba;R;
470;Tornipöllöt;Barn Owls;Tytonidae;Tornipöllö (alalaji guttata);Tornuggla (rasen guttata);TYTALBGUT;Tyto alba guttata;R;
471;Pöllöt;Owls;Strigidae;Kyläpöllönen;Dvärguv;OTUSCO;Otus scops;A;
472;Pöllöt;Owls;Strigidae;Huuhkaja;Berguv;BUBBUB;Bubo bubo;A;
473;Pöllöt;Owls;Strigidae;Tunturipöllö;Fjälluggla;BUBSCA;Bubo scandiacus;A;
474;Pöllöt;Owls;Strigidae;Hiiripöllö;Hökuggla;SURULU;Surnia ulula;A;
475;Pöllöt;Owls;Strigidae;Varpuspöllö;Sparvuggla;GLAPAS;Glaucidium passerinum;A;
476;Pöllöt;Owls;Strigidae;Minervanpöllö;Minervauggla;ATHNOC;Athene noctua;A;
477;Pöllöt;Owls;Strigidae;Viirupöllölaji;Strix (släktet);STRIXSP;Strix sp;S;
478;Pöllöt;Owls;Strigidae;Lehtopöllö;Kattuggla;STRALU;Strix aluco;A;
479;Pöllöt;Owls;Strigidae;Viirupöllö;Slaguggla;STRURA;Strix uralensis;A;
480;Pöllöt;Owls;Strigidae;Viirupöllö / lapinpöllö;Slaguggla / lappuggla;STRURA/STRNEB;Strix uralensis/nebulosa;S;
481;Pöllöt;Owls;Strigidae;Lapinpöllö;Lappuggla;STRNEB;Strix nebulosa;A;
482;Pöllöt;Owls;Strigidae;Sarvipöllölaji;Asio (släktet);ASISP;Asio sp;S;
483;Pöllöt;Owls;Strigidae;Sarvipöllö;Hornuggla;ASIOTU;Asio otus;A;
484;Pöllöt;Owls;Strigidae;Suopöllö;Jorduggla;ASIFLA;Asio flammeus;A;
485;Pöllöt;Owls;Strigidae;Helmipöllö;Pärluggla;AEGFUN;Aegolius funereus;A;
486;Pöllöt;Owls;Strigidae;Iso pöllö;Stor uggla;IPÖL;Iso pöllö;S;
487;Pöllöt;Owls;Strigidae;Keskikokoinen pöllö;Medelstor uggla;KPÖL;Keskikokoinen pöllö;S;
488;Pöllöt;Owls;Strigidae;Pieni pöllö;Liten uggla;PPÖL;Pieni pöllö;S;
489;Pöllöt;Owls;Strigidae;Pöllö;Ob. uggla;PÖL;Pöllö;S;
490;Kehrääjät;Nightjars;Caprimulgidae;Kehrääjä;Nattskärra;CAPEUR;Caprimulgus europaeus;A;
491;Kiitäjät;Swifts;Apodidae;Piikkikiitäjälaji;Hirundapus (släktet);HIRUSSP;Hirundapus sp;S;
492;Kiitäjät;Swifts;Apodidae;Piikkipyrstökiitäjä;Taggstjärtseglare;HIRCAU;Hirundapus caudacutus;A;
493;Kiitäjät;Swifts;Apodidae;Tervakiitäjälaji;Apus (släktet);APUSP;Apus sp;S;
494;Kiitäjät;Swifts;Apodidae;Alppikiitäjä;Alpseglare;APUMEL;Apus melba;A;
495;Kiitäjät;Swifts;Apodidae;Tervapääsky;Tornseglare;APUAPU;Apus apus;A;
496;Kiitäjät;Swifts;Apodidae;Vaaleakiitäjä;Blek tornseglare;APUPAL;Apus pallidus;A;
497;Kiitäjät;Swifts;Apodidae;Kafferikiitäjä;Kafferseglare;APUCAF;Apus caffer;A;
498;Kuningaskalastajat;Kingfishers;Alcedinidae;Kuningaskalastaja;Kungsfiskare;ALCATT;Alcedo atthis;A;
499;Mehiläissyöjät;Bee-eaters;Meropidae;Mehiläissyöjälaji;Merops (släktet);MEROPSP;Merops sp;S;
500;Mehiläissyöjät;Bee-eaters;Meropidae;Vihermehiläissyöjä;Grön biätare;MERPER;Merops persicus;A;
501;Mehiläissyöjät;Bee-eaters;Meropidae;Mehiläissyöjä;Biätare;MERAPI;Merops apiaster;A;
502;Sininärhet;Rollers;Coraciidae;Sininärhi;Blåkråka;CORGAR;Coracias garrulus;A;
503;Harjalinnut;Hoopoes;Upupidae;Harjalintu;Härfågel;UPUEPO;Upupa epops;A;
504;Tikat;Woodpeckers;Picidae;Käenpiika;Göktyta;JYNTOR;Jynx torquilla;A;
505;Tikat;Woodpeckers;Picidae;Vihertikkalaji;Picus (släktet);PICUSSP;Picus sp;S;
506;Tikat;Woodpeckers;Picidae;Harmaapäätikka;Gråspett;PICCAN;Picus canus;A;
507;Tikat;Woodpeckers;Picidae;Harmaapäätikka / vihertikka;Gråspett / gröngöling;PICCAN/PICVIR;Picus canus/viridis;S;
508;Tikat;Woodpeckers;Picidae;Vihertikka;Gröngöling;PICVIR;Picus viridis;A;
509;Tikat;Woodpeckers;Picidae;Palokärki;Spillkråka;DRYMAR;Dryocopus martius;A;
510;Tikat;Woodpeckers;Picidae;Kirjotikkalaji;Dendrocopos (släktet);DENSP;Dendrocopos sp;S;
511;Tikat;Woodpeckers;Picidae;Käpytikka;Större hackspett;DENMAJ;Dendrocopos major;A;
512;Tikat;Woodpeckers;Picidae;Käpytikka X valkoselkätikka;Större hackspett X vitryggig hackspett;DENMAJXDENLEU;Dendrocopos major x leucotos;X;
513;Tikat;Woodpeckers;Picidae;Tammitikka;Mellanspett;DENMED;Dendrocopos medius;A;
514;Tikat;Woodpeckers;Picidae;Valkoselkätikka;Vitryggig hackspett;DENLEU;Dendrocopos leucotos;A;
515;Tikat;Woodpeckers;Picidae;Valkoselkätikka / pikkutikka;Vitryggig hackspett / mindre hackspett;DENLEU/DENMIN;Dendrocopos leucotos/minor;S;
516;Tikat;Woodpeckers;Picidae;Pikkutikka;Mindre hackspett;DENMIN;Dendrocopos minor;A;
517;Tikat;Woodpeckers;Picidae;Pohjantikka;Tretåig hackspett;PICTRI;Picoides tridactylus;A;
518;Tikat;Woodpeckers;Picidae;Keskikokoinen tikka;Medelstor hackspett;KT;Keskikokoinen tikka;S;
519;Kiurut;Larks;Alaudidae;Isokiurulaji;Melanocorypha (släktet);MELHASP;Melanocorypha sp;S;
520;Kiurut;Larks;Alaudidae;Arokiuru;Kalanderlärka;MELCAL;Melanocorypha calandra;A;
521;Kiurut;Larks;Alaudidae;Arokiuru / ylänkökiuru;Kalanderlärka / asiatisk kalanderlärka;MELCAL/MELBIM;Melanocorypha calandra/bimaculata;S;
522;Kiurut;Larks;Alaudidae;Ylänkökiuru;Asiatisk kalanderlärka;MELBIM;Melanocorypha bimaculata;A;
523;Kiurut;Larks;Alaudidae;Valkosiipikiuru;Vitvingad lärka;MELLEU;Melanocorypha leucoptera;A;
524;Kiurut;Larks;Alaudidae;Mustakiuru;Svartlärka;MELYEL;Melanocorypha yeltoniensis;A;
525;Kiurut;Larks;Alaudidae;Hietakiurulaji;Calandrella (släktet);CALANSP;Calandrella sp;S;
526;Kiurut;Larks;Alaudidae;Lyhytvarvaskiuru;Korttålärka;CALBRA;Calandrella brachydactyla;A;
527;Kiurut;Larks;Alaudidae;Pikkukiuru;Dvärglärka;CALENS;Calandrella rufescens;A;
528;Kiurut;Larks;Alaudidae;Töyhtökiurulaji;Galerida (släktet);GALERSP;Galerida sp;S;
529;Kiurut;Larks;Alaudidae;Töyhtökiuru;Tofslärka;GALCRI;Galerida cristata;A;
530;Kiurut;Larks;Alaudidae;Kangaskiuru;Trädlärka;LULARB;Lullula arborea;A;
531;Kiurut;Larks;Alaudidae;Kiurulaji (Alauda);Alauda (släktet);ALASP;Alauda sp;S;
532;Kiurut;Larks;Alaudidae;Kiuru;Sånglärka;ALAARV;Alauda arvensis;A;
533;Kiurut;Larks;Alaudidae;Tunturikiuru;Berglärka;EREALP;Eremophila alpestris;A;
534;Pääskyt;Swallows, Martins;Hirundinidae;Törmäpääsky;Backsvala;RIPRIP;Riparia riparia;A;
535;Pääskyt;Swallows, Martins;Hirundinidae;Kalliopääsky;Klippsvala;PTYRUP;Ptyonoprogne rupestris;A;
536;Pääskyt;Swallows, Martins;Hirundinidae;Haarapääskylaji;Hirundo (släktet);HIRSP;Hirundo sp;S;
537;Pääskyt;Swallows, Martins;Hirundinidae;Haarapääsky;Ladusvala;HIRRUS;Hirundo rustica;A;
538;Pääskyt;Swallows, Martins;Hirundinidae;Haarapääsky / räystäspääsky;Ladusvala / hussvala;HIRRUS/DELURB;Hirundo rustica/Delichon urbicum;S;
539;Pääskyt;Swallows, Martins;Hirundinidae;Haarapääsky X räystäspääsky;Ladusvala X hussvala;HIRRUSXDELURB;Hirundo rustica x Delichon urbicum;X;
540;Pääskyt;Swallows, Martins;Hirundinidae;Ruostepääsky;Rostgumpsvala;CECDAU;Cecropis daurica;A;
541;Pääskyt;Swallows, Martins;Hirundinidae;Räystäspääsky;Hussvala;DELURB;Delichon urbicum;A;
542;Pääskyt;Swallows, Martins;Hirundinidae;Pääsky;Ob. svala;RIP/HIR/DEL;Riparia/Hirundo/Delichon;S;
543;Västäräkit;Wagtails, Pipits;Motacillidae;Kirvislaji;Anthus (släktet);ANTSP;Anthus sp;S;
544;Västäräkit;Wagtails, Pipits;Motacillidae;Isokirvinen;Större piplärka;ANTRIC;Anthus richardi;A;
545;Västäräkit;Wagtails, Pipits;Motacillidae;Isokirvinen / mongoliankirvinen;Större piplärka / mongolpiplärka;ANTRIC/ANTGOD;Anthus richardi/godlewskii;S;
546;Västäräkit;Wagtails, Pipits;Motacillidae;Isokirvinen / mongoliankirvinen / nummikirvinen;Större piplärka / mongolpiplärka / fältpiplärka;ANTRIC/ANTGOD/ANTCAM;Anthus richardi/godlewskii/campestris;S;
547;Västäräkit;Wagtails, Pipits;Motacillidae;Mongoliankirvinen;Mongolpiplärka;ANTGOD;Anthus godlewskii;A;
548;Västäräkit;Wagtails, Pipits;Motacillidae;Nummikirvinen;Fältpiplärka;ANTCAM;Anthus campestris;A;
549;Västäräkit;Wagtails, Pipits;Motacillidae;Taigakirvinen;Sibirisk piplärka;ANTHOD;Anthus hodgsoni;A;
550;Västäräkit;Wagtails, Pipits;Motacillidae;Taigakirvinen / metsäkirvinen;Sibirisk piplärka / trädpiplärka;ANTHOD/ANTTRI;Anthus hodgsoni/trivialis;S;
551;Västäräkit;Wagtails, Pipits;Motacillidae;Metsäkirvinen;Trädpiplärka;ANTTRI;Anthus trivialis;A;
552;Västäräkit;Wagtails, Pipits;Motacillidae;Tundrakirvinen;Tundrapiplärka;ANTGUS;Anthus gustavi;A;
553;Västäräkit;Wagtails, Pipits;Motacillidae;Niittykirvinen;ängspiplärka;ANTPRA;Anthus pratensis;A;
554;Västäräkit;Wagtails, Pipits;Motacillidae;Lapinkirvinen;Rödstrupig piplärka;ANTCER;Anthus cervinus;A;
555;Västäräkit;Wagtails, Pipits;Motacillidae;Vuorikirvinen / luotokirvinen;Vattenpiplärka / skärpiplärka;ANTSPI/ANTPET;Anthus spinoletta/petrosus;S;
556;Västäräkit;Wagtails, Pipits;Motacillidae;Luotokirvinen;Skärpiplärka;ANTPET;Anthus petrosus;A;
557;Västäräkit;Wagtails, Pipits;Motacillidae;Västäräkkilaji;Motacilla (släktet);MOTSP;Motacilla sp;S;
558;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki;Gulärla;MOTFLA;Motacilla flava;A;
559;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji flava);Gulärla (rasen flava);MOTFLAAVA;Motacilla flava flava;R;
560;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji flavissima);Gulärla (rasen flavissima);MOTFLAIMA;Motacilla flava flavissima;R;
561;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji thunbergi);Gulärla (rasen thunbergi);MOTFLATHU;Motacilla flava thunbergi;R;
562;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji beema);Gulärla (rasen beema);MOTFLABEE;Motacilla flava beema;R;
563;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji lutea);Gulärla (rasen lutea);MOTFLALUT;Motacilla flava lutea;R;
564;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji feldegg);Gulärla (rasen feldegg);MOTFLAFEL;Motacilla flava feldegg;R;
565;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki / sitruunavästäräkki;Gulärla / citronärla;MOTFLA/MOTCIT;Motacilla flava/citreola;S;
566;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki (alalaji flavissima) / keltavästäräkki (alalaji lutea);Gulärla (rasen flavissima) / gulärla (rasen lutea);MOTFLAIMA/MOTFLALUT;Motacilla flava flavissima/lutea;S;
567;Västäräkit;Wagtails, Pipits;Motacillidae;Keltavästäräkki X sitruunavästäräkki;Gulärla X citronärla;MOTFLAXMOTCIT;Motacilla flava x citreola;X;
568;Västäräkit;Wagtails, Pipits;Motacillidae;Sitruunavästäräkki;Citronärla;MOTCIT;Motacilla citreola;A;
569;Västäräkit;Wagtails, Pipits;Motacillidae;Virtavästäräkki;Forsärla;MOTCIN;Motacilla cinerea;A;
570;Västäräkit;Wagtails, Pipits;Motacillidae;Västäräkki;Sädesärla;MOTALB;Motacilla alba;A;
571;Västäräkit;Wagtails, Pipits;Motacillidae;Englanninvästäräkki;Sädesärla (rasen yarrellii);MOTALBYAR;Motacilla alba yarrellii;R;
572;Västäräkit;Wagtails, Pipits;Motacillidae;Västäräkki (alalaji alba);Sädesärla (rasen alba);MOTALBALB;Motacilla alba alba;R;
573;Västäräkit;Wagtails, Pipits;Motacillidae;Västäräkkiristeymä;ärlehybrid;XMOT;x Motacilla;X;
574;Tilhet;Waxwings;Bombycillidae;Tilhi;Sidensvans;BOMGAR;Bombycilla garrulus;A;
575;Koskikarat;Dippers;Cinclidae;Koskikara;Strömstare;CINCIN;Cinclus cinclus;A;
576;Peukaloiset;Wrens;Troglodytidae;Peukaloinen;Gärdsmyg;TROTRO;Troglodytes troglodytes;A;
577;Rautiaiset;Accentors;Prunellidae;Rautiaislaji;Prunella (släktet);PRUSP;Prunella sp;S;
578;Rautiaiset;Accentors;Prunellidae;Rautiainen;Järnsparv;PRUMOD;Prunella modularis;A;
579;Rautiaiset;Accentors;Prunellidae;Taigarautiainen;Sibirisk järnsparv;PRUMON;Prunella montanella;A;
580;Rautiaiset;Accentors;Prunellidae;Mustakurkkurautiainen;Svartstrupig järnsparv;PRUATR;Prunella atrogularis;A;
581;Rautiaiset;Accentors;Prunellidae;Alppirautiainen;Alpjärnsparv;PRUCOL;Prunella collaris;A;
582;Rastaat;Thrushes, Chats;Turdidae;Ruostepyrstö;Trädnäktergal;CERGAL;Cercotrichas galactotes;A;
583;Rastaat;Thrushes, Chats;Turdidae;Punarinta;Rödhake;ERIRUB;Erithacus rubecula;A;
584;Rastaat;Thrushes, Chats;Turdidae;Satakielilaji;Luscinia (släktet);LUSSP;Luscinia sp;S;
585;Rastaat;Thrushes, Chats;Turdidae;Satakieli;Näktergal;LUSLUS;Luscinia luscinia;A;
586;Rastaat;Thrushes, Chats;Turdidae;Satakieli / etelänsatakieli;Näktergal / sydnäktergal;LUSLUS/LUSMEG;Luscinia luscinia/megarhynchos;S;
587;Rastaat;Thrushes, Chats;Turdidae;Etelänsatakieli;Sydnäktergal;LUSMEG;Luscinia megarhynchos;A;
588;Rastaat;Thrushes, Chats;Turdidae;Rubiinisatakieli;Rubinnäktergal;LUSCAL;Luscinia calliope;A;
589;Rastaat;Thrushes, Chats;Turdidae;Sinirinta;Blåhake;LUSSVE;Luscinia svecica;A;
590;Rastaat;Thrushes, Chats;Turdidae;Valkotäpläsinirinta;Blåhake (rasen cyanecula);LUSSVECYA;Luscinia svecica cyanecula;R;
591;Rastaat;Thrushes, Chats;Turdidae;Sinirinta (alalaji svecica);Blåhake (rasen svecica);LUSSVESVE;Luscinia svecica svecica;R;
592;Rastaat;Thrushes, Chats;Turdidae;Sinipyrstö;Blåstjärt;TARCYA;Tarsiger cyanurus;A;
593;Rastaat;Thrushes, Chats;Turdidae;Leppälintulaji;Phoenicurus (släktet);PHOSP;Phoenicurus sp;S;
594;Rastaat;Thrushes, Chats;Turdidae;Mustaleppälintu;Svart rödstjärt;PHOOCH;Phoenicurus ochruros;A;
595;Rastaat;Thrushes, Chats;Turdidae;Mustaleppälintu / leppälintu;Svart rödstjärt / rödstjärt;PHOOCH/PHOPHO;Phoenicurus ochruros/phoenicurus;S;
596;Rastaat;Thrushes, Chats;Turdidae;Mustaleppälintu X leppälintu;Svart rödstjärt X rödstjärt;PHOOCHXPHOPHO;Phoenicurus ochruros x phoenicurus;X;
597;Rastaat;Thrushes, Chats;Turdidae;Leppälintu;Rödstjärt;PHOPHO;Phoenicurus phoenicurus;A;
598;Rastaat;Thrushes, Chats;Turdidae;Leppälintu (alalaji phoenicurus);Rödstjärt (rasen phoenicurus);PHOPHOPHO;Phoenicurus phoenicurus phoenicurus;R;
599;Rastaat;Thrushes, Chats;Turdidae;Leppälintu (alalaji samamisicus);Rödstjärt (rasen samamisicus);PHOPHOSAM;Phoenicurus phoenicurus samamisicus;R;
600;Rastaat;Thrushes, Chats;Turdidae;Vuorileppälintu;Bergrödstjärt;PHORUS;Phoenicurus erythrogastrus;E;
601;Rastaat;Thrushes, Chats;Turdidae;Pensastasku;Buskskvätta;SAXRUB;Saxicola rubetra;A;
602;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku;Svarthakad buskskvätta;SAXTOR;Saxicola torquatus;A;
603;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji hibernans);Svarthakad buskskvätta (rasen hibernans);SAXTORHIB;Saxicola torquatus hibernans;R;
604;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji rubicola);Svarthakad buskskvätta (rasen rubicola);SAXTORRUB;Saxicola torquatus rubicola;R;
605;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji maurus);Svarthakad buskskvätta (rasen maurus);SAXTORMAU;Saxicola torquatus maurus;R;
606;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji stejnegeri);Svarthakad buskskvätta (rasen stejnegeri);SAXTORSTE;Saxicola torquatus stejnegeri;R;
607;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji hibernans) / mustapäätasku (alalaji rubicola);Svarthakad buskskvätta (rasen hibernans) / svarthakad buskskvätta (rasen rubicola);SAXTORHIB/SAXTORRUB;Saxicola torquatus hibernans/rubicola;S;
608;Rastaat;Thrushes, Chats;Turdidae;Mustapäätasku (alalaji maurus) / mustapäätasku (alalaji stejnegeri);Svarthakad buskskvätta (rasen maurus) / svarthakad buskskvätta (rasen stejnegeri);SAXTORMAU/SAXTORSTE;Saxicola torquatus maurus/stejnegeri;S;
609;Rastaat;Thrushes, Chats;Turdidae;Nokitasku;Svart buskskvätta;SAXCAP;Saxicola caprata;A;
610;Rastaat;Thrushes, Chats;Turdidae;Kivitaskulaji;Oenanthe (släktet);OENSP;Oenanthe sp;S;
611;Rastaat;Thrushes, Chats;Turdidae;Arotasku;Isabellastenskvätta;OENISA;Oenanthe isabellina;A;
612;Rastaat;Thrushes, Chats;Turdidae;Kivitasku;Stenskvätta;OENOEN;Oenanthe oenanthe;A;
613;Rastaat;Thrushes, Chats;Turdidae;Nunnatasku;Nunnestenskvätta;OENPLE;Oenanthe pleschanka;A;
614;Rastaat;Thrushes, Chats;Turdidae;Nunnatasku / rusotasku;Nunnestenskvätta / medelhavsstenskvätta;OENPLE/OENHIS;Oenanthe pleschanka/hispanica;S;
615;Rastaat;Thrushes, Chats;Turdidae;Rusotasku;Medelhavsstenskvätta;OENHIS;Oenanthe hispanica;A;
616;Rastaat;Thrushes, Chats;Turdidae;Rusotasku (alalaji hispanica);Medelhavsstenskvätta (rasen hispanica);OENHISHIS;Oenanthe hispanica hispanica;R;
617;Rastaat;Thrushes, Chats;Turdidae;Rusotasku (alalaji melanoleuca);Medelhavsstenskvätta (rasen melanoleuca);OENHISMEL;Oenanthe hispanica melanoleuca;R;
618;Rastaat;Thrushes, Chats;Turdidae;Aavikkotasku;ökenstenskvätta;OENDES;Oenanthe deserti;A;
619;Rastaat;Thrushes, Chats;Turdidae;Kivikkorastaslaji;Monticola (släktet);MONSP;Monticola sp;S;
620;Rastaat;Thrushes, Chats;Turdidae;Kivikkorastas;Stentrast;MONSAX;Monticola saxatilis;A;
621;Rastaat;Thrushes, Chats;Turdidae;Sinirastas;Blåtrast;MONSOL;Monticola solitarius;A;
622;Rastaat;Thrushes, Chats;Turdidae;Kirjorastas;Guldtrast;ZOODAU;Zoothera dauma;A;
623;Rastaat;Thrushes, Chats;Turdidae;Amerikanrastaslaji;Catharus (släktet);CATHASP;Catharus sp;S;
624;Rastaat;Thrushes, Chats;Turdidae;Korpirastas;Beigekindad skogstrast;CATUST;Catharus ustulatus;A;
625;Rastaat;Thrushes, Chats;Turdidae;Turdus (suku);Turdus (släktet);TURSP;Turdus sp;S;
626;Rastaat;Thrushes, Chats;Turdidae;Sepelrastas;Ringtrast;TURTOR;Turdus torquatus;A;
627;Rastaat;Thrushes, Chats;Turdidae;Mustarastas;Koltrast;TURMER;Turdus merula;A;
628;Rastaat;Thrushes, Chats;Turdidae;Harmaakurkkurastas;Gråhalsad trast;TUROBS;Turdus obscurus;A;
629;Rastaat;Thrushes, Chats;Turdidae;Ruosterastas;Rödtrast;TURNAU;Turdus naumanni;A;
630;Rastaat;Thrushes, Chats;Turdidae;Ruostesiipirastas;Bruntrast;TUREUN;Turdus eunomus;A;
631;Rastaat;Thrushes, Chats;Turdidae;Ruosterastas / ruostesiipirastas;Rödtrast / bruntrast;TURNAU/TUREUN;Turdus naumanni/eunomus;S;
632;Rastaat;Thrushes, Chats;Turdidae;Mustakaularastas;Svarthalsad trast;TURATR;Turdus atrogularis;A;
633;Rastaat;Thrushes, Chats;Turdidae;Punakaularastas;Rödhalsad trast;TURRUF;Turdus ruficollis;A;
634;Rastaat;Thrushes, Chats;Turdidae;Mustakaularastas / punakaularastas;Svarthalsad trast / rödhalsad trast;TURATR/TURRUF;Turdus atrogularis/ruficollis;S;
635;Rastaat;Thrushes, Chats;Turdidae;Räkättirastas;Björktrast;TURPIL;Turdus pilaris;A;
636;Rastaat;Thrushes, Chats;Turdidae;Laulurastas;Taltrast;TURPHI;Turdus philomelos;A;
637;Rastaat;Thrushes, Chats;Turdidae;Punakylkirastas;Rödvingetrast;TURILI;Turdus iliacus;A;
638;Rastaat;Thrushes, Chats;Turdidae;Pieni rastas;Liten trast;PTUR;Pieni Turdus;S;
639;Rastaat;Thrushes, Chats;Turdidae;Kulorastas;Dubbeltrast;TURVIS;Turdus viscivorus;A;
