;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
77;Sorsat;Ducks;Anatidae;Sorsaristeymä;Simandhybrid;XANA;x Anas;X;
78;Sorsat;Ducks;Anatidae;Punapäänarsku;Rödhuvad dykand;NETRUF;Netta rufina;A;
79;Sorsat;Ducks;Anatidae;Sotkalaji;Aythya (släktet);AYTSP;Aythya sp;S;
80;Sorsat;Ducks;Anatidae;Punasotka;Brunand;AYTFER;Aythya ferina;A;
81;Sorsat;Ducks;Anatidae;Punasotka X tukkasotka;Brunand X vigg;AYTFERXAYTFUL;Aythya ferina x fuligula;X;
82;Sorsat;Ducks;Anatidae;Amerikantukkasotka;Ringand;AYTCOL;Aythya collaris;A;
83;Sorsat;Ducks;Anatidae;Amerikantukkasotka X tukkasotka;Ringand X vigg;AYTCOLXAYTFUL;Aythya collaris x fuligula;X;
84;Sorsat;Ducks;Anatidae;Ruskosotka;Vitögd dykand;AYTNYR;Aythya nyroca;A;
85;Sorsat;Ducks;Anatidae;Tukkasotka;Vigg;AYTFUL;Aythya fuligula;A;
86;Sorsat;Ducks;Anatidae;Tukkasotka / lapasotka;Vigg / bergand;AYTFUL/AYTMAR;Aythya fuligula/marila;S;
87;Sorsat;Ducks;Anatidae;Tukkasotka X lapasotka;Vigg X bergand;AYTFULXAYTMAR;Aythya fuligula x marila;X;
88;Sorsat;Ducks;Anatidae;Lapasotka;Bergand;AYTMAR;Aythya marila;A;
89;Sorsat;Ducks;Anatidae;Pikkulapasotka;Mindre bergand;AYTAFF;Aythya affinis;A;
90;Sorsat;Ducks;Anatidae;Sotkaristeymä;Dykandhybrid;XAYT;x Aythya;X;
91;Sorsat;Ducks;Anatidae;Haahkalaji;Somateria (släktet);SOMSP;Somateria sp;S;
92;Sorsat;Ducks;Anatidae;Haahka;Ejder;SOMMOL;Somateria mollissima;A;
93;Sorsat;Ducks;Anatidae;Haahka X kyhmyhaahka;Ejder X praktejder;SOMMOLXSOMSPE;Somateria mollissima x spectabilis;X;
94;Sorsat;Ducks;Anatidae;Haahka X isokoskelo;Ejder X storskrake;SOMMOLXMERMER;Somateria mollissima x Mergus merganser;X;
95;Sorsat;Ducks;Anatidae;Kyhmyhaahka;Praktejder;SOMSPE;Somateria spectabilis;A;
96;Sorsat;Ducks;Anatidae;Allihaahka;Alförrädare;POLSTE;Polysticta stelleri;A;
97;Sorsat;Ducks;Anatidae;Virta-alli;Strömand;HISHIS;Histrionicus histrionicus;A;
98;Sorsat;Ducks;Anatidae;Alli;Alfågel;CLAHYE;Clangula hyemalis;A;
99;Sorsat;Ducks;Anatidae;Mustalintulaji;Melanitta (släktet);MELSP;Melanitta sp;S;
100;Sorsat;Ducks;Anatidae;Mustalintu;Sjöorre;MELNIG;Melanitta nigra;A;
101;Sorsat;Ducks;Anatidae;Mustalintu (alalaji nigra);Sjöorre (rasen nigra);MELNIGNIG;Melanitta nigra nigra;R;
102;Sorsat;Ducks;Anatidae;Amerikanmustalintu;Amerikansk sjöorre;MELAME;Melanitta americana;A;
103;Sorsat;Ducks;Anatidae;Pilkkaniska;Vitnackad svärta;MELPER;Melanitta perspicillata;A;
104;Sorsat;Ducks;Anatidae;Pilkkasiipi;Svärta;MELFUS;Melanitta fusca;A;
