Kunta;place_fi;wgs;ykj;town_sv;place_sv;town_en;place_en;country_fi;country_sv;country_en;organization;org_abbrev
Lappeenranta;Voisalmi, veneranta;61.0860:28.1373;6775735:3561536;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Ylämaa, Ryönänlahti, Väkevänjärvi;60.6809:27.9893;6730480:3554234;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Ylämaa, Väkevänjärvi, lintutorni (Salajärvi);60.6714:27.9755;6729400:3553497;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Ylämaa, Väkevänjärvi, veneranta (rajamaja);60.6932:28.0011;6731854:3554858;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Ylämaa, Väkevänniityt;60.6964:28.0192;6732224:3555840;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lemi;Jalkosalmi;61.0419:27.7706;6770538:3541811;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lemi;Nuorajärvi;61.1453:27.8330;6782106:3545036;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Luumäki;Risulahti;60.9652:27.7775;6761999:3542283;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Luumäki;Ylä-Hirvas, lintutorni;60.8517:27.7866;6749361:3542927;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Härskiinmutka;61.5649:29.4973;6831118:3632862;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Joukio, soramonttu;61.5365:29.5296;6828019:3634702;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Kirkkoranta;61.5455:29.4895;6828944:3632530;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Rautalahti;61.6365:29.5678;6839236:3636293;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Akanvaara, Tetrisuo;61.7320:29.6394;6850026:3639659;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Akonpohja;61.6838:29.6850;6844754:3642289;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Jyrkilä;61.7165:29.7893;6848631:3647650;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Kanavalampi;61.6599:29.7945;6842336:3648196;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Pohjanranta, lintutorni;61.7284:29.7012;6849758:3642940;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Pohjasuo;61.7415:29.6877;6851187:3642167;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Tarassiinlahti, lintutorni;61.6887:29.7742;6845497:3646985;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Tarnala, Kuposenmäki;61.7219:29.7318;6849103:3644586;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Saari, Vaaranmäki, lintutorni;61.6574:29.7509;6841960:3645901;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Sammallampi, lintutorni;61.5218:29.5260;6826376:3634576;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
